id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27352319,Modern New Flat - Artist Studio. 1room apt,29088206,Shaltmira,Mitte,Wedding Zentrum,52.55069,13.35758,Entire home/apt,60,1,6,2019-06-02,0.13,1,0,0,
27357763,Neukölln apartment with balcony on top floor,80861096,Dimitri,Neukölln,Neuköllner Mitte/Zentrum,52.47236,13.4324,Entire home/apt,68,30,11,2020-11-01,0.31,1,0,0,
50453177,Stilvoll-gemütliche Altbauwohnung im Hochparterre,7489142,Wolfgang,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49024,13.39484,Entire home/apt,100,14,0,,,1,0,0,
27426900,"Central, Cozy home in Prenzlauerberg with Balcony",21309273,Schayenne,Pankow,Helmholtzplatz,52.54842,13.41567,Entire home/apt,101,4,1,2018-08-11,0.02,1,0,0,
50568752,Hostel Room 9 per 2(3),10817284,Евгения,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.47773,13.32456,Private room,40,2,3,2021-09-26,0.33,3,0,3,"Legal entity name and Legal form: Ferienwohnungen Pensionat24 FWP GmbH <br/>Legal representatives or Trade register number: AG Berlin Charlottenburg  HRB 140215 <br/> Entity address: Pohlstr 65, 10785, Berlin, Германия <br/>Listing address: Detmolderstr 65, 10715, Berlin, Германия"
50587501,Cozy central apartment with balcony near Kudamm,30951345,Dora,Steglitz - Zehlendorf,Albrechtstr.,52.4446,13.35096,Entire home/apt,45,5,5,2021-08-22,0.44,1,0,5,
27454270,Bright Kreuzberg Rooftop Room,37429313,Fab,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49062,13.41695,Private room,26,3,23,2022-01-04,0.50,1,0,3,
27477123,Altbau Flat in Schöneberg close to Bergmannkiez,3545144,Maria-Elisabeth,Tempelhof - Schöneberg,Schöneberg-Nord,52.48936,13.37011,Entire home/apt,50,2,12,2019-01-08,0.26,1,0,0,
42065998,★％Discount★Only Women★DT-kreuzberg★,143778350,Maria,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49133,13.3861,Private room,66,1,31,2022-06-12,1.43,2,301,20,98/7/65/432123-56
50803022,Nettes 22qm Zimmer Nahe Alexanderplatz,410612934,René,Pankow,Prenzlauer Berg Südwest,52.5322,13.40953,Private room,85,2,0,,,1,0,0,
